Item - Name,Item - Options,Item - Qty,Item - Weight,Notes - From Buyer
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"MONTH-TO-MONTH COFFEE SUBSCRIPTION - Medium & Dark","Grind Type: #0 - Whole Bean","1","32.0",""
"CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #20 - French Press or Clever","1","16.0",""
"CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"BLOCK PARTY","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0","Ben and Becca- I can't imagine what you've experienced over the past several months. I hope you can take time for yourselves and engage in quality time with Eli and Luca in the weeks ahead. Keeping you in my thoughts and hoping the transition home is uneventful.

Good coffee makes tough days a little better for me, and I'm hoping it will do the same for you. Michael"
"TART POM ETHIOPIA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0","Ben and Becca- I can't imagine what you've experienced over the past several months. I hope you can take time for yourselves and engage in quality time with Eli and Luca in the weeks ahead. Keeping you in my thoughts and hoping the transition home is uneventful.

Good coffee makes tough days a little better for me, and I'm hoping it will do the same for you. Michael"
"GREEN BIKE","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"3 VOLCANOES DARK GUATEMALA","Size: One Pound - $18 Per Pound, Grind Type: #14 - Cone Filter or v60","2","16.0",""
"SL28 NATURAL COSTA RICA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"TART POM ETHIOPIA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"CREAM CITY","Size: Five Pound - $15 Per Pound, Grind Type: #14 - Cone Filter or v60","1","80.0",""
"BONESHAKER COLOMBIA","Size: One Pound - $18 Per Pound, Grind Type: #1 - Espresso","1","16.0",""
"STRAWBERRY FIELDS DECAF COLOMBIA","Size: One Pound - $18 Per Pound, Grind Type: #20 - French Press or Clever","1","16.0",""
"DECAF CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #20 - French Press or Clever","1","16.0",""
"CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #17 - Flat Filter or Cold Brew","2","16.0",""
"DOUBLE DRAGON BUNDLE","1LB BAG OF GREEN DRAGON: Size - One Pound - $18 Per Pound, Grind Type - #0 - Whole Bean, Qty - 1, 1LB BAG OF DARK DRAGON: Size - One Pound - $18 Per Pound, Grind Type - #0 - Whole Bean, Qty - 1","1","32.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","2","16.0",""
"3 VOLCANOES DARK GUATEMALA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"GREEN DRAGON COSTA RICA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","2","16.0",""
"GREEN DRAGON COSTA RICA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"DARK DRAGON COSTA RICA","Size: One Pound - $18 Per Pound, Grind Type: #14 - Cone Filter or v60","2","16.0",""
"BLACK SHEEP","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"3 VOLCANOES DARK GUATEMALA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"Total Discount",,"1","0.0",""
"6 MONTH COFFEE SUBSCRIPTION","Roast Level: Light, Grind Type: #0 - Whole Bean","1","32.0","Hope this coffee is as funky as you!"
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #1 - Espresso","1","16.0",""
"VOYAGER - BULK","Bulk Size: 5 Pound Bag // $15 Per Pound, Grind Type: #20 - French Press or Clever","1","80.0",""
"CREAM CITY","Size: Five Pound - $15 Per Pound, Grind Type: #14 - Cone Filter or v60","1","80.0",""
"Total Discount",,"1","0.0",""
"DECAF CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #20 - French Press or Clever","1","16.0",""
"3 VOLCANOES DARK GUATEMALA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"GREEN BIKE","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","2","16.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"DOUBLE DRAGON BUNDLE","1LB BAG OF GREEN DRAGON: Size - One Pound - $18 Per Pound, Grind Type - #0 - Whole Bean, Qty - 1, 1LB BAG OF DARK DRAGON: Size - One Pound - $18 Per Pound, Grind Type - #0 - Whole Bean, Qty - 1","1","32.0",""
